date,Pornhub
2015-06-28,52
2015-07-05,53
2015-07-12,55
2015-07-19,55
2015-07-26,54
2015-08-02,55
2015-08-09,54
2015-08-16,53
2015-08-23,52
2015-08-30,53
2015-09-06,52
2015-09-13,52
2015-09-20,51
2015-09-27,51
2015-10-04,50
2015-10-11,51
2015-10-18,51
2015-10-25,52
2015-11-01,50
2015-11-08,51
2015-11-15,52
2015-11-22,51
2015-11-29,52
2015-12-06,52
2015-12-13,50
2015-12-20,55
2015-12-27,53
2016-01-03,48
2016-01-10,46
2016-01-17,47
2016-01-24,47
2016-01-31,46
2016-02-07,47
2016-02-14,48
2016-02-21,47
2016-02-28,48
2016-03-06,48
2016-03-13,47
2016-03-20,49
2016-03-27,52
2016-04-03,49
2016-04-10,48
2016-04-17,48
2016-04-24,47
2016-05-01,49
2016-05-08,49
2016-05-15,49
2016-05-22,49
2016-05-29,51
2016-06-05,49
2016-06-12,49
2016-06-19,49
2016-06-26,50
2016-07-03,52
2016-07-10,52
2016-07-17,53
2016-07-24,52
2016-07-31,52
2016-08-07,53
2016-08-14,53
2016-08-21,51
2016-08-28,51
2016-09-04,51
2016-09-11,53
2016-09-18,51
2016-09-25,50
2016-10-02,50
2016-10-09,50
2016-10-16,49
2016-10-23,50
2016-10-30,50
2016-11-06,48
2016-11-13,50
2016-11-20,50
2016-11-27,50
2016-12-04,49
2016-12-11,51
2016-12-18,53
2016-12-25,53
2017-01-01,53
2017-01-08,50
2017-01-15,50
2017-01-22,50
2017-01-29,50
2017-02-05,50
2017-02-12,52
2017-02-19,50
2017-02-26,50
2017-03-05,51
2017-03-12,50
2017-03-19,52
2017-03-26,54
2017-04-02,54
2017-04-09,56
2017-04-16,55
2017-04-23,54
2017-04-30,56
2017-05-07,55
2017-05-14,56
2017-05-21,56
2017-05-28,56
2017-06-04,57
2017-06-11,58
2017-06-18,58
2017-06-25,61
2017-07-02,61
2017-07-09,60
2017-07-16,60
2017-07-23,60
2017-07-30,59
2017-08-06,58
2017-08-13,58
2017-08-20,58
2017-08-27,59
2017-09-03,57
2017-09-10,56
2017-09-17,58
2017-09-24,57
2017-10-01,57
2017-10-08,58
2017-10-15,57
2017-10-22,58
2017-10-29,61
2017-11-05,61
2017-11-12,60
2017-11-19,62
2017-11-26,62
2017-12-03,63
2017-12-10,63
2017-12-17,67
2017-12-24,70
2017-12-31,67
2018-01-07,66
2018-01-14,64
2018-01-21,63
2018-01-28,63
2018-02-04,63
2018-02-11,64
2018-02-18,64
2018-02-25,60
2018-03-04,63
2018-03-11,64
2018-03-18,62
2018-03-25,64
2018-04-01,64
2018-04-08,63
2018-04-15,63
2018-04-22,62
2018-04-29,65
2018-05-06,65
2018-05-13,62
2018-05-20,63
2018-05-27,64
2018-06-03,63
2018-06-10,63
2018-06-17,65
2018-06-24,65
2018-07-01,63
2018-07-08,66
2018-07-15,66
2018-07-22,66
2018-07-29,65
2018-08-05,64
2018-08-12,64
2018-08-19,65
2018-08-26,63
2018-09-02,64
2018-09-09,62
2018-09-16,61
2018-09-23,62
2018-09-30,62
2018-10-07,61
2018-10-14,62
2018-10-21,62
2018-10-28,65
2018-11-04,63
2018-11-11,62
2018-11-18,64
2018-11-25,63
2018-12-02,64
2018-12-09,65
2018-12-16,66
2018-12-23,70
2018-12-30,70
2019-01-06,65
2019-01-13,65
2019-01-20,65
2019-01-27,63
2019-02-03,63
2019-02-10,67
2019-02-17,66
2019-02-24,64
2019-03-03,66
2019-03-10,66
2019-03-17,68
2019-03-24,67
2019-03-31,66
2019-04-07,67
2019-04-14,70
2019-04-21,72
2019-04-28,70
2019-05-05,69
2019-05-12,71
2019-05-19,76
2019-05-26,76
2019-06-02,78
2019-06-09,79
2019-06-16,81
2019-06-23,77
2019-06-30,77
2019-07-07,77
2019-07-14,77
2019-07-21,77
2019-07-28,77
2019-08-04,78
2019-08-11,81
2019-08-18,78
2019-08-25,78
2019-09-01,77
2019-09-08,76
2019-09-15,76
2019-09-22,78
2019-09-29,76
2019-10-06,78
2019-10-13,79
2019-10-20,78
2019-10-27,78
2019-11-03,78
2019-11-10,76
2019-11-17,77
2019-11-24,77
2019-12-01,79
2019-12-08,80
2019-12-15,84
2019-12-22,90
2019-12-29,89
2020-01-05,82
2020-01-12,79
2020-01-19,82
2020-01-26,82
2020-02-02,82
2020-02-09,84
2020-02-16,83
2020-02-23,81
2020-03-01,82
2020-03-08,85
2020-03-15,90
2020-03-22,100
2020-03-29,95
2020-04-05,94
2020-04-12,90
2020-04-19,88
2020-04-26,86
2020-05-03,85
2020-05-10,87
2020-05-17,86
2020-05-24,90
2020-05-31,86
2020-06-07,89
2020-06-14,86
2020-06-21,91
