date,Ebay
2015-06-28,89
2015-07-05,87
2015-07-12,91
2015-07-19,93
2015-07-26,93
2015-08-02,92
2015-08-09,92
2015-08-16,94
2015-08-23,91
2015-08-30,91
2015-09-06,89
2015-09-13,90
2015-09-20,91
2015-09-27,91
2015-10-04,92
2015-10-11,94
2015-10-18,95
2015-10-25,92
2015-11-01,94
2015-11-08,95
2015-11-15,94
2015-11-22,100
2015-11-29,97
2015-12-06,97
2015-12-13,93
2015-12-20,86
2015-12-27,90
2016-01-03,81
2016-01-10,77
2016-01-17,78
2016-01-24,79
2016-01-31,79
2016-02-07,78
2016-02-14,78
2016-02-21,79
2016-02-28,79
2016-03-06,76
2016-03-13,74
2016-03-20,74
2016-03-27,77
2016-04-03,74
2016-04-10,74
2016-04-17,73
2016-04-24,75
2016-05-01,71
2016-05-08,70
2016-05-15,73
2016-05-22,71
2016-05-29,72
2016-06-05,69
2016-06-12,70
2016-06-19,68
2016-06-26,67
2016-07-03,69
2016-07-10,70
2016-07-17,68
2016-07-24,70
2016-07-31,72
2016-08-07,68
2016-08-14,67
2016-08-21,68
2016-08-28,70
2016-09-04,69
2016-09-11,68
2016-09-18,68
2016-09-25,70
2016-10-02,71
2016-10-09,71
2016-10-16,71
2016-10-23,70
2016-10-30,69
2016-11-06,71
2016-11-13,72
2016-11-20,75
2016-11-27,74
2016-12-04,71
2016-12-11,72
2016-12-18,63
2016-12-25,66
2017-01-01,70
2017-01-08,67
2017-01-15,68
2017-01-22,67
2017-01-29,67
2017-02-05,67
2017-02-12,65
2017-02-19,68
2017-02-26,68
2017-03-05,68
2017-03-12,66
2017-03-19,66
2017-03-26,65
2017-04-02,64
2017-04-09,65
2017-04-16,65
2017-04-23,65
2017-04-30,67
2017-05-07,65
2017-05-14,65
2017-05-21,63
2017-05-28,64
2017-06-04,64
2017-06-11,64
2017-06-18,62
2017-06-25,65
2017-07-02,63
2017-07-09,65
2017-07-16,63
2017-07-23,67
2017-07-30,68
2017-08-06,66
2017-08-13,65
2017-08-20,65
2017-08-27,66
2017-09-03,65
2017-09-10,66
2017-09-17,66
2017-09-24,66
2017-10-01,66
2017-10-08,67
2017-10-15,67
2017-10-22,65
2017-10-29,66
2017-11-05,69
2017-11-12,69
2017-11-19,70
2017-11-26,70
2017-12-03,68
2017-12-10,66
2017-12-17,60
2017-12-24,61
2017-12-31,62
2018-01-07,62
2018-01-14,63
2018-01-21,61
2018-01-28,63
2018-02-04,61
2018-02-11,59
2018-02-18,61
2018-02-25,60
2018-03-04,59
2018-03-11,59
2018-03-18,60
2018-03-25,59
2018-04-01,59
2018-04-08,57
2018-04-15,56
2018-04-22,58
2018-04-29,57
2018-05-06,54
2018-05-13,53
2018-05-20,54
2018-05-27,54
2018-06-03,55
2018-06-10,54
2018-06-17,53
2018-06-24,51
2018-07-01,51
2018-07-08,52
2018-07-15,52
2018-07-22,53
2018-07-29,53
2018-08-05,51
2018-08-12,52
2018-08-19,52
2018-08-26,51
2018-09-02,51
2018-09-09,51
2018-09-16,52
2018-09-23,51
2018-09-30,50
2018-10-07,51
2018-10-14,50
2018-10-21,50
2018-10-28,52
2018-11-04,52
2018-11-11,53
2018-11-18,58
2018-11-25,56
2018-12-02,55
2018-12-09,53
2018-12-16,49
2018-12-23,48
2018-12-30,50
2019-01-06,51
2019-01-13,49
2019-01-20,49
2019-01-27,50
2019-02-03,51
2019-02-10,48
2019-02-17,50
2019-02-24,48
2019-03-03,49
2019-03-10,49
2019-03-17,49
2019-03-24,49
2019-03-31,48
2019-04-07,48
2019-04-14,46
2019-04-21,47
2019-04-28,48
2019-05-05,47
2019-05-12,46
2019-05-19,46
2019-05-26,47
2019-06-02,46
2019-06-09,48
2019-06-16,47
2019-06-23,45
2019-06-30,46
2019-07-07,47
2019-07-14,46
2019-07-21,43
2019-07-28,45
2019-08-04,45
2019-08-11,48
2019-08-18,46
2019-08-25,45
2019-09-01,45
2019-09-08,45
2019-09-15,43
2019-09-22,45
2019-09-29,46
2019-10-06,46
2019-10-13,45
2019-10-20,46
2019-10-27,46
2019-11-03,48
2019-11-10,47
2019-11-17,49
2019-11-24,50
2019-12-01,49
2019-12-08,47
2019-12-15,45
2019-12-22,43
2019-12-29,45
2020-01-05,46
2020-01-12,45
2020-01-19,45
2020-01-26,45
2020-02-02,45
2020-02-09,45
2020-02-16,46
2020-02-23,45
2020-03-01,45
2020-03-08,42
2020-03-15,38
2020-03-22,42
2020-03-29,47
2020-04-05,48
2020-04-12,51
2020-04-19,52
2020-04-26,54
2020-05-03,51
2020-05-10,52
2020-05-17,51
2020-05-24,50
2020-05-31,49
2020-06-07,50
2020-06-14,49
2020-06-21,49
