date,Youtube
2015-06-28,93
2015-07-05,94
2015-07-12,94
2015-07-19,95
2015-07-26,96
2015-08-02,93
2015-08-09,94
2015-08-16,96
2015-08-23,96
2015-08-30,92
2015-09-06,87
2015-09-13,90
2015-09-20,94
2015-09-27,92
2015-10-04,91
2015-10-11,93
2015-10-18,94
2015-10-25,94
2015-11-01,93
2015-11-08,94
2015-11-15,95
2015-11-22,93
2015-11-29,91
2015-12-06,93
2015-12-13,91
2015-12-20,100
2015-12-27,91
2016-01-03,75
2016-01-10,76
2016-01-17,77
2016-01-24,78
2016-01-31,78
2016-02-07,77
2016-02-14,77
2016-02-21,76
2016-02-28,76
2016-03-06,76
2016-03-13,76
2016-03-20,78
2016-03-27,77
2016-04-03,73
2016-04-10,76
2016-04-17,75
2016-04-24,76
2016-05-01,77
2016-05-08,74
2016-05-15,77
2016-05-22,76
2016-05-29,77
2016-06-05,74
2016-06-12,75
2016-06-19,75
2016-06-26,76
2016-07-03,73
2016-07-10,73
2016-07-17,76
2016-07-24,75
2016-07-31,77
2016-08-07,76
2016-08-14,75
2016-08-21,74
2016-08-28,74
2016-09-04,70
2016-09-11,72
2016-09-18,74
2016-09-25,75
2016-10-02,74
2016-10-09,75
2016-10-16,75
2016-10-23,76
2016-10-30,75
2016-11-06,72
2016-11-13,74
2016-11-20,73
2016-11-27,72
2016-12-04,71
2016-12-11,73
2016-12-18,76
2016-12-25,76
2017-01-01,72
2017-01-08,71
2017-01-15,73
2017-01-22,72
2017-01-29,72
2017-02-05,72
2017-02-12,71
2017-02-19,73
2017-02-26,71
2017-03-05,70
2017-03-12,71
2017-03-19,73
2017-03-26,72
2017-04-02,70
2017-04-09,69
2017-04-16,69
2017-04-23,70
2017-04-30,72
2017-05-07,69
2017-05-14,68
2017-05-21,67
2017-05-28,67
2017-06-04,67
2017-06-11,67
2017-06-18,66
2017-06-25,66
2017-07-02,66
2017-07-09,65
2017-07-16,67
2017-07-23,72
2017-07-30,73
2017-08-06,72
2017-08-13,73
2017-08-20,72
2017-08-27,73
2017-09-03,73
2017-09-10,73
2017-09-17,72
2017-09-24,72
2017-10-01,70
2017-10-08,71
2017-10-15,71
2017-10-22,72
2017-10-29,72
2017-11-05,71
2017-11-12,72
2017-11-19,71
2017-11-26,71
2017-12-03,71
2017-12-10,73
2017-12-17,76
2017-12-24,77
2017-12-31,71
2018-01-07,70
2018-01-14,70
2018-01-21,69
2018-01-28,70
2018-02-04,71
2018-02-11,70
2018-02-18,68
2018-02-25,68
2018-03-04,68
2018-03-11,67
2018-03-18,70
2018-03-25,69
2018-04-01,69
2018-04-08,67
2018-04-15,67
2018-04-22,66
2018-04-29,67
2018-05-06,67
2018-05-13,65
2018-05-20,67
2018-05-27,68
2018-06-03,66
2018-06-10,62
2018-06-17,62
2018-06-24,62
2018-07-01,61
2018-07-08,60
2018-07-15,58
2018-07-22,64
2018-07-29,64
2018-08-05,60
2018-08-12,61
2018-08-19,61
2018-08-26,64
2018-09-02,63
2018-09-09,64
2018-09-16,61
2018-09-23,58
2018-09-30,57
2018-10-07,58
2018-10-14,59
2018-10-21,56
2018-10-28,57
2018-11-04,56
2018-11-11,57
2018-11-18,58
2018-11-25,56
2018-12-02,59
2018-12-09,57
2018-12-16,56
2018-12-23,57
2018-12-30,56
2019-01-06,53
2019-01-13,52
2019-01-20,55
2019-01-27,54
2019-02-03,53
2019-02-10,54
2019-02-17,54
2019-02-24,53
2019-03-03,51
2019-03-10,51
2019-03-17,53
2019-03-24,51
2019-03-31,50
2019-04-07,50
2019-04-14,51
2019-04-21,51
2019-04-28,52
2019-05-05,52
2019-05-12,54
2019-05-19,54
2019-05-26,55
2019-06-02,53
2019-06-09,52
2019-06-16,53
2019-06-23,51
2019-06-30,50
2019-07-07,50
2019-07-14,50
2019-07-21,50
2019-07-28,50
2019-08-04,49
2019-08-11,51
2019-08-18,52
2019-08-25,52
2019-09-01,50
2019-09-08,50
2019-09-15,51
2019-09-22,50
2019-09-29,50
2019-10-06,49
2019-10-13,49
2019-10-20,51
2019-10-27,50
2019-11-03,50
2019-11-10,51
2019-11-17,51
2019-11-24,49
2019-12-01,49
2019-12-08,50
2019-12-15,50
2019-12-22,52
2019-12-29,49
2020-01-05,47
2020-01-12,47
2020-01-19,49
2020-01-26,48
2020-02-02,48
2020-02-09,47
2020-02-16,48
2020-02-23,48
2020-03-01,47
2020-03-08,46
2020-03-15,52
2020-03-22,54
2020-03-29,55
2020-04-05,55
2020-04-12,54
2020-04-19,54
2020-04-26,53
2020-05-03,51
2020-05-10,51
2020-05-17,49
2020-05-24,49
2020-05-31,48
2020-06-07,48
2020-06-14,48
2020-06-21,47
