date,HBO Go
2015-06-28,21
2015-07-05,19
2015-07-12,20
2015-07-19,19
2015-07-26,19
2015-08-02,18
2015-08-09,21
2015-08-16,20
2015-08-23,18
2015-08-30,16
2015-09-06,17
2015-09-13,15
2015-09-20,16
2015-09-27,14
2015-10-04,13
2015-10-11,14
2015-10-18,14
2015-10-25,13
2015-11-01,13
2015-11-08,13
2015-11-15,13
2015-11-22,14
2015-11-29,14
2015-12-06,14
2015-12-13,13
2015-12-20,15
2015-12-27,17
2016-01-03,12
2016-01-10,12
2016-01-17,13
2016-01-24,11
2016-01-31,10
2016-02-07,10
2016-02-14,11
2016-02-21,11
2016-02-28,11
2016-03-06,11
2016-03-13,11
2016-03-20,12
2016-03-27,12
2016-04-03,13
2016-04-10,14
2016-04-17,19
2016-04-24,58
2016-05-01,40
2016-05-08,30
2016-05-15,29
2016-05-22,27
2016-05-29,27
2016-06-05,24
2016-06-12,23
2016-06-19,29
2016-06-26,33
2016-07-03,19
2016-07-10,18
2016-07-17,18
2016-07-24,17
2016-07-31,16
2016-08-07,14
2016-08-14,14
2016-08-21,15
2016-08-28,15
2016-09-04,13
2016-09-11,11
2016-09-18,11
2016-09-25,11
2016-10-02,14
2016-10-09,14
2016-10-16,14
2016-10-23,14
2016-10-30,15
2016-11-06,14
2016-11-13,15
2016-11-20,17
2016-11-27,18
2016-12-04,17
2016-12-11,16
2016-12-18,15
2016-12-25,17
2017-01-01,15
2017-01-08,14
2017-01-15,13
2017-01-22,13
2017-01-29,13
2017-02-05,12
2017-02-12,13
2017-02-19,14
2017-02-26,13
2017-03-05,13
2017-03-12,13
2017-03-19,12
2017-03-26,12
2017-04-02,13
2017-04-09,12
2017-04-16,14
2017-04-23,13
2017-04-30,14
2017-05-07,13
2017-05-14,12
2017-05-21,13
2017-05-28,12
2017-06-04,12
2017-06-11,13
2017-06-18,15
2017-06-25,15
2017-07-02,17
2017-07-09,28
2017-07-16,74
2017-07-23,44
2017-07-30,39
2017-08-06,38
2017-08-13,38
2017-08-20,34
2017-08-27,41
2017-09-03,20
2017-09-10,17
2017-09-17,16
2017-09-24,15
2017-10-01,14
2017-10-08,14
2017-10-15,14
2017-10-22,13
2017-10-29,14
2017-11-05,13
2017-11-12,15
2017-11-19,14
2017-11-26,15
2017-12-03,15
2017-12-10,15
2017-12-17,15
2017-12-24,20
2017-12-31,18
2018-01-07,16
2018-01-14,14
2018-01-21,13
2018-01-28,13
2018-02-04,13
2018-02-11,12
2018-02-18,12
2018-02-25,12
2018-03-04,11
2018-03-11,11
2018-03-18,11
2018-03-25,14
2018-04-01,12
2018-04-08,11
2018-04-15,11
2018-04-22,15
2018-04-29,14
2018-05-06,13
2018-05-13,12
2018-05-20,11
2018-05-27,11
2018-06-03,11
2018-06-10,11
2018-06-17,10
2018-06-24,12
2018-07-01,11
2018-07-08,12
2018-07-15,11
2018-07-22,12
2018-07-29,11
2018-08-05,12
2018-08-12,13
2018-08-19,12
2018-08-26,12
2018-09-02,11
2018-09-09,10
2018-09-16,10
2018-09-23,10
2018-09-30,10
2018-10-07,9
2018-10-14,10
2018-10-21,10
2018-10-28,12
2018-11-04,12
2018-11-11,13
2018-11-18,13
2018-11-25,12
2018-12-02,12
2018-12-09,11
2018-12-16,12
2018-12-23,17
2018-12-30,17
2019-01-06,14
2019-01-13,17
2019-01-20,15
2019-01-27,15
2019-02-03,14
2019-02-10,13
2019-02-17,13
2019-02-24,13
2019-03-03,18
2019-03-10,18
2019-03-17,17
2019-03-24,17
2019-03-31,22
2019-04-07,38
2019-04-14,100
2019-04-21,55
2019-04-28,59
2019-05-05,44
2019-05-12,43
2019-05-19,43
2019-05-26,27
2019-06-02,26
2019-06-09,25
2019-06-16,23
2019-06-23,20
2019-06-30,19
2019-07-07,20
2019-07-14,20
2019-07-21,19
2019-07-28,17
2019-08-04,17
2019-08-11,17
2019-08-18,16
2019-08-25,15
2019-09-01,14
2019-09-08,13
2019-09-15,13
2019-09-22,13
2019-09-29,13
2019-10-06,13
2019-10-13,13
2019-10-20,14
2019-10-27,16
2019-11-03,16
2019-11-10,16
2019-11-17,15
2019-11-24,16
2019-12-01,16
2019-12-08,16
2019-12-15,16
2019-12-22,23
2019-12-29,23
2020-01-05,18
2020-01-12,17
2020-01-19,18
2020-01-26,16
2020-02-02,15
2020-02-09,14
2020-02-16,15
2020-02-23,14
2020-03-01,13
2020-03-08,15
2020-03-15,26
2020-03-22,29
2020-03-29,31
2020-04-05,30
2020-04-12,29
2020-04-19,25
2020-04-26,24
2020-05-03,20
2020-05-10,18
2020-05-17,19
2020-05-24,21
2020-05-31,17
2020-06-07,16
2020-06-14,15
2020-06-21,17
