date,Instagram
2015-06-28,44
2015-07-05,45
2015-07-12,48
2015-07-19,46
2015-07-26,45
2015-08-02,45
2015-08-09,46
2015-08-16,46
2015-08-23,46
2015-08-30,46
2015-09-06,43
2015-09-13,44
2015-09-20,44
2015-09-27,44
2015-10-04,44
2015-10-11,46
2015-10-18,44
2015-10-25,43
2015-11-01,45
2015-11-08,43
2015-11-15,44
2015-11-22,42
2015-11-29,45
2015-12-06,45
2015-12-13,46
2015-12-20,50
2015-12-27,58
2016-01-03,47
2016-01-10,43
2016-01-17,46
2016-01-24,44
2016-01-31,44
2016-02-07,44
2016-02-14,45
2016-02-21,45
2016-02-28,44
2016-03-06,45
2016-03-13,44
2016-03-20,46
2016-03-27,53
2016-04-03,47
2016-04-10,47
2016-04-17,47
2016-04-24,49
2016-05-01,47
2016-05-08,49
2016-05-15,50
2016-05-22,50
2016-05-29,50
2016-06-05,50
2016-06-12,51
2016-06-19,52
2016-06-26,51
2016-07-03,54
2016-07-10,54
2016-07-17,55
2016-07-24,58
2016-07-31,57
2016-08-07,52
2016-08-14,53
2016-08-21,53
2016-08-28,54
2016-09-04,53
2016-09-11,52
2016-09-18,51
2016-09-25,51
2016-10-02,51
2016-10-09,51
2016-10-16,50
2016-10-23,51
2016-10-30,53
2016-11-06,49
2016-11-13,52
2016-11-20,53
2016-11-27,51
2016-12-04,52
2016-12-11,54
2016-12-18,55
2016-12-25,62
2017-01-01,60
2017-01-08,56
2017-01-15,56
2017-01-22,56
2017-01-29,57
2017-02-05,57
2017-02-12,57
2017-02-19,58
2017-02-26,59
2017-03-05,57
2017-03-12,57
2017-03-19,57
2017-03-26,57
2017-04-02,57
2017-04-09,59
2017-04-16,60
2017-04-23,57
2017-04-30,59
2017-05-07,58
2017-05-14,57
2017-05-21,58
2017-05-28,59
2017-06-04,59
2017-06-11,59
2017-06-18,61
2017-06-25,61
2017-07-02,63
2017-07-09,62
2017-07-16,62
2017-07-23,63
2017-07-30,62
2017-08-06,63
2017-08-13,62
2017-08-20,63
2017-08-27,62
2017-09-03,60
2017-09-10,60
2017-09-17,60
2017-09-24,60
2017-10-01,58
2017-10-08,60
2017-10-15,59
2017-10-22,58
2017-10-29,61
2017-11-05,59
2017-11-12,62
2017-11-19,61
2017-11-26,63
2017-12-03,62
2017-12-10,65
2017-12-17,66
2017-12-24,70
2017-12-31,75
2018-01-07,67
2018-01-14,68
2018-01-21,69
2018-01-28,67
2018-02-04,68
2018-02-11,71
2018-02-18,68
2018-02-25,67
2018-03-04,68
2018-03-11,68
2018-03-18,69
2018-03-25,73
2018-04-01,72
2018-04-08,69
2018-04-15,72
2018-04-22,71
2018-04-29,70
2018-05-06,71
2018-05-13,69
2018-05-20,71
2018-05-27,73
2018-06-03,76
2018-06-10,74
2018-06-17,74
2018-06-24,74
2018-07-01,75
2018-07-08,79
2018-07-15,78
2018-07-22,76
2018-07-29,75
2018-08-05,79
2018-08-12,75
2018-08-19,76
2018-08-26,76
2018-09-02,76
2018-09-09,75
2018-09-16,71
2018-09-23,71
2018-09-30,72
2018-10-07,71
2018-10-14,73
2018-10-21,72
2018-10-28,72
2018-11-04,75
2018-11-11,71
2018-11-18,72
2018-11-25,70
2018-12-02,71
2018-12-09,70
2018-12-16,73
2018-12-23,83
2018-12-30,87
2019-01-06,76
2019-01-13,80
2019-01-20,77
2019-01-27,77
2019-02-03,75
2019-02-10,76
2019-02-17,79
2019-02-24,75
2019-03-03,75
2019-03-10,88
2019-03-17,76
2019-03-24,76
2019-03-31,75
2019-04-07,74
2019-04-14,78
2019-04-21,79
2019-04-28,78
2019-05-05,78
2019-05-12,80
2019-05-19,80
2019-05-26,81
2019-06-02,86
2019-06-09,91
2019-06-16,89
2019-06-23,89
2019-06-30,94
2019-07-07,88
2019-07-14,92
2019-07-21,90
2019-07-28,92
2019-08-04,90
2019-08-11,93
2019-08-18,93
2019-08-25,86
2019-09-01,87
2019-09-08,89
2019-09-15,86
2019-09-22,83
2019-09-29,85
2019-10-06,92
2019-10-13,87
2019-10-20,85
2019-10-27,85
2019-11-03,83
2019-11-10,83
2019-11-17,83
2019-11-24,81
2019-12-01,80
2019-12-08,81
2019-12-15,82
2019-12-22,93
2019-12-29,100
2020-01-05,86
2020-01-12,85
2020-01-19,85
2020-01-26,85
2020-02-02,82
2020-02-09,82
2020-02-16,87
2020-02-23,82
2020-03-01,82
2020-03-08,82
2020-03-15,88
2020-03-22,95
2020-03-29,92
2020-04-05,92
2020-04-12,95
2020-04-19,94
2020-04-26,94
2020-05-03,94
2020-05-10,93
2020-05-17,92
2020-05-24,96
2020-05-31,94
2020-06-07,91
2020-06-14,93
2020-06-21,92
